Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
92602,1998,.,100,.,76.89
92602,1999,14.27,114.27,.,87.87
92602,2000,13.81,130.05,.,100
92602,2001,9.79,142.78,.,109.79
92602,2002,11.84,159.68,.,122.79
92602,2003,10.66,176.71,.,135.88
92602,2004,22.6,216.64,.,166.58
92602,2005,23.25,267,.,205.3
92602,2006,7.92,288.15,.,221.57
92602,2007,-9.13,261.83,.,201.33
92602,2008,-5.46,247.54,.,190.34
92602,2009,-5.62,233.63,.,179.64
92602,2010,2.15,238.65,.,183.5
92602,2011,-1.21,235.76,.,181.28
92602,2012,0.12,236.04,.,181.5
92602,2013,9.1,257.53,.,198.02
92602,2014,9.04,280.8,.,215.91
92602,2015,1.87,286.04,.,219.94
92602,2016,6.26,303.96,.,233.72
92602,2017,3.68,315.15,.,242.33
92602,2018,2.77,323.88,.,249.04
92602,2019,0.58,325.74,.,250.47
92602,2020,-0.27,324.85,.,249.79
92602,2021,6.22,345.06,.,265.33
92602,2022,8.6,374.73,.,288.14
92602,2023,.,.,.,.
92612,1976,.,100,25.8,23.42
92612,1977,31.53,131.53,33.93,30.8
92612,1978,19.26,156.86,40.47,36.74
92612,1979,7.75,169.02,43.6,39.58
92612,1980,14.92,194.23,50.1,45.49
92612,1981,16.47,226.23,58.36,52.98
92612,1982,-16.68,188.5,48.63,44.14
92612,1983,22.23,230.4,59.44,53.96
92612,1984,-4.68,219.61,56.65,51.43
92612,1985,1.79,223.54,57.67,52.35
92612,1986,3.86,232.17,59.89,54.37
92612,1987,8.35,251.55,64.89,58.91
92612,1988,19.77,301.27,77.72,70.55
92612,1989,22.38,368.71,95.11,86.35
92612,1990,5.14,387.65,100,90.78
92612,1991,-5.83,365.06,94.17,85.49
92612,1992,-1.01,361.36,93.22,84.63
92612,1993,-7.39,334.64,86.33,78.37
92612,1994,-3.38,323.33,83.41,75.72
92612,1995,0.02,323.41,83.43,75.74
92612,1996,-1.93,317.18,81.82,74.28
92612,1997,-0.96,314.12,81.03,73.56
92612,1998,13.05,355.11,91.61,83.16
92612,1999,9.58,389.14,100.39,91.13
92612,2000,9.73,427.01,110.15,100
92612,2001,10.38,471.32,121.59,110.38
92612,2002,9.37,515.47,132.98,120.72
92612,2003,10.99,572.11,147.59,133.98
92612,2004,25.33,717.05,184.98,167.93
92612,2005,25.35,898.84,231.87,210.5
92612,2006,11.57,1002.8,258.69,234.85
92612,2007,-3.96,963.14,248.46,225.56
92612,2008,-17.37,795.86,205.31,186.38
92612,2009,-8.87,725.24,187.09,169.84
92612,2010,9.76,796.04,205.35,186.42
92612,2011,-10.31,713.99,184.19,167.21
92612,2012,0.76,719.41,185.59,168.48
92612,2013,7.93,776.46,200.3,181.84
92612,2014,.,.,.,.
92612,2015,.,960.97,247.9,225.05
92612,2016,.,.,.,.
92612,2017,.,.,.,.
92612,2018,.,.,.,.
92612,2019,.,.,.,.
92612,2020,.,1174.61,303.01,275.08
92612,2021,-9.71,1060.54,273.58,248.37
92612,2022,.,.,.,.
92612,2023,.,.,.,.
92614,1980,.,100,45.35,41.47
92614,1981,10.24,110.24,50,45.72
92614,1982,9.69,120.92,54.84,50.15
92614,1983,-3.21,117.05,53.09,48.54
92614,1984,1.31,118.58,53.78,49.17
92614,1985,-0.89,117.53,53.3,48.74
92614,1986,6.78,125.49,56.92,52.04
92614,1987,9.14,136.96,62.12,56.79
92614,1988,22.38,167.61,76.02,69.5
92614,1989,27.8,214.21,97.15,88.83
92614,1990,2.93,220.49,100,91.43
92614,1991,-3.94,211.79,96.06,87.83
92614,1992,-2.63,206.23,93.53,85.52
92614,1993,-4.6,196.74,89.23,81.58
92614,1994,-2.81,191.21,86.72,79.29
92614,1995,-4.69,182.24,82.65,75.57
92614,1996,1.07,184.2,83.54,76.38
92614,1997,0.68,185.45,84.11,76.9
92614,1998,11.5,206.78,93.78,85.75
92614,1999,7.98,223.27,101.26,92.58
92614,2000,8.01,241.15,109.37,100
92614,2001,12.47,271.21,123,112.47
92614,2002,10.82,300.55,136.31,124.63
92614,2003,10.29,331.47,150.33,137.46
92614,2004,23.91,410.72,186.28,170.32
92614,2005,22.74,504.1,228.63,209.04
92614,2006,4.87,528.64,239.76,219.22
92614,2007,-3.21,511.65,232.05,212.17
92614,2008,-8.03,470.54,213.41,195.13
92614,2009,-4.01,451.69,204.85,187.31
92614,2010,-0.37,450.03,204.1,186.62
92614,2011,-5.12,427,193.66,177.07
92614,2012,-0.33,425.59,193.02,176.48
92614,2013,11.76,475.64,215.72,197.24
92614,2014,.,.,.,.
92614,2015,.,552.47,250.56,229.1
92614,2016,-0.05,552.21,250.44,228.99
92614,2017,12.47,621.07,281.68,257.55
92614,2018,.,.,.,.
92614,2019,.,645.65,292.83,267.74
92614,2020,1.66,656.34,297.67,272.17
92614,2021,2.15,670.44,304.07,278.02
92614,2022,.,.,.,.
92614,2023,.,.,.,.
92618,1977,.,100,29.54,27.3
92618,1978,38.85,138.85,41.02,37.91
92618,1979,11.24,154.46,45.63,42.17
92618,1980,30.55,201.65,59.57,55.05
92618,1981,.,.,.,.
92618,1982,.,240.08,70.93,65.54
92618,1983,-7.85,221.23,65.36,60.4
92618,1984,-9.35,200.54,59.25,54.75
92618,1985,2.75,206.06,60.88,56.26
92618,1986,1.98,210.15,62.08,57.37
92618,1987,12.29,235.97,69.71,64.42
92618,1988,8.28,255.5,75.48,69.75
92618,1989,22.23,312.29,92.26,85.26
92618,1990,8.39,338.49,100,92.41
92618,1991,-4.72,322.52,95.28,88.05
92618,1992,-0.91,319.6,94.42,87.25
92618,1993,-6.33,299.37,88.44,81.73
92618,1994,-0.49,297.9,88.01,81.33
92618,1995,-5.05,282.87,83.57,77.22
92618,1996,-15.92,237.83,70.26,64.93
92618,1997,16.64,277.4,81.95,75.73
92618,1998,6.94,296.67,87.64,80.99
92618,1999,9.54,324.98,96.01,88.72
92618,2000,12.71,366.29,108.21,100
92618,2001,12.99,413.88,122.27,112.99
92618,2002,12.89,467.21,138.03,127.55
92618,2003,14,532.64,157.36,145.41
92618,2004,19.13,634.52,187.45,173.23
92618,2005,23.58,784.12,231.65,214.07
92618,2006,10.16,863.79,255.19,235.82
92618,2007,9.65,947.16,279.82,258.58
92618,2008,-22.76,731.63,216.14,199.74
92618,2009,-4.52,698.52,206.36,190.7
92618,2010,-7.66,644.99,190.55,176.09
92618,2011,12.28,724.2,213.95,197.71
92618,2012,-6.94,673.96,199.11,184
92618,2013,.,.,.,.
92618,2014,.,.,.,.
92618,2015,.,.,.,.
92618,2016,.,.,.,.
92618,2017,.,.,.,.
92618,2018,.,.,.,.
92618,2019,.,.,.,.
92618,2020,.,968.2,286.03,264.33
92618,2021,.,.,.,.
92618,2022,.,.,.,.
92618,2023,.,.,.,.
92625,1986,.,100,50.61,37.64
92625,1987,23.01,123.01,62.25,46.3
92625,1988,20.43,148.15,74.97,55.76
92625,1989,28.32,190.1,96.2,71.55
92625,1990,3.95,197.61,100,74.38
92625,1991,3.06,203.65,103.06,76.65
92625,1992,1.55,206.82,104.66,77.84
92625,1993,-3.72,199.14,100.77,74.95
92625,1994,-6.82,185.56,93.9,69.84
92625,1995,0.26,186.04,94.14,70.02
92625,1996,-6.97,173.06,87.58,65.14
92625,1997,10.74,191.65,96.99,72.13
92625,1998,10.69,212.13,107.35,79.84
92625,1999,3.57,219.71,111.18,82.69
92625,2000,20.93,265.69,134.45,100
92625,2001,6.6,283.21,143.32,106.6
92625,2002,12.87,319.66,161.77,120.32
92625,2003,7.92,344.99,174.58,129.85
92625,2004,12.16,386.95,195.82,145.64
92625,2005,36.24,527.17,266.78,198.42
92625,2006,.,.,.,.
92625,2007,.,.,.,.
92625,2008,.,478.2,242,179.99
92625,2009,-2.34,467.03,236.34,175.78
92625,2010,-6.95,434.57,219.92,163.57
92625,2011,0.53,436.89,221.09,164.44
92625,2012,4.48,456.44,230.98,171.8
92625,2013,2.61,468.35,237.01,176.28
92625,2014,.,.,.,.
92625,2015,.,.,.,.
92625,2016,.,.,.,.
92625,2017,.,.,.,.
92625,2018,.,.,.,.
92625,2019,.,.,.,.
92625,2020,.,367.46,185.96,138.31
92625,2021,.,.,.,.
92625,2022,.,.,.,.
92625,2023,.,.,.,.
92649,1975,.,100,18.26,15.51
92649,1976,21.92,121.92,22.26,18.91
92649,1977,25.1,152.52,27.85,23.66
92649,1978,17.02,178.49,32.59,27.68
92649,1979,20.09,214.35,39.14,33.25
92649,1980,13.74,243.79,44.51,37.81
92649,1981,11.39,271.56,49.58,42.12
92649,1982,-2.5,264.78,48.35,41.07
92649,1983,8.3,286.76,52.36,44.48
92649,1984,-1.15,283.47,51.76,43.97
92649,1985,4.7,296.79,54.19,46.04
92649,1986,5.5,313.1,57.17,48.56
92649,1987,11.53,349.19,63.76,54.16
92649,1988,23.13,429.95,78.5,66.69
92649,1989,25.83,540.99,98.78,83.91
92649,1990,1.24,547.68,100,84.95
92649,1991,-2.84,532.1,97.16,82.53
92649,1992,-0.24,530.79,96.92,82.33
92649,1993,-5.59,501.1,91.5,77.72
92649,1994,-3.76,482.24,88.05,74.8
92649,1995,-3.52,465.24,84.95,72.16
92649,1996,0.07,465.56,85.01,72.21
92649,1997,4.19,485.09,88.57,75.24
92649,1998,8.59,526.76,96.18,81.7
92649,1999,9.08,574.58,104.91,89.12
92649,2000,12.21,644.71,117.72,100
92649,2001,8.39,698.82,127.6,108.39
92649,2002,12.4,785.5,143.42,121.84
92649,2003,10.79,870.25,158.9,134.98
