ZipCode,median_household_income_last_12,Year
89010,45893,2013
89019,35825,2013
89060,39211,2013
89061,44722,2013
89439,62008,2013
90001,36386,2013
90002,31810,2013
90003,28334,2013
90004,37839,2013
90005,32955,2013
90006,29594,2013
90007,22049,2013
90008,37798,2013
90010,50288,2013
90011,30118,2013
90012,25028,2013
90013,16284,2013
90014,12015,2013
90015,25911,2013
90016,35858,2013
90017,21050,2013
90018,35126,2013
90019,40727,2013
90020,39103,2013
90021,13576,2013
90022,37262,2013
90023,33340,2013
90024,67151,2013
90025,71947,2013
90026,45560,2013
90027,47980,2013
90028,31415,2013
90029,36281,2013
90031,34597,2013
90032,44759,2013
90033,29524,2013
90034,57577,2013
90035,70273,2013
90036,72981,2013
90037,28377,2013
90038,34723,2013
90039,64533,2013
90040,48610,2013
90041,62700,2013
90042,53283,2013
90043,42379,2013
90044,29459,2013
90045,80311,2013
90046,51929,2013
90047,43538,2013
90048,77855,2013
90049,113158,2013
90056,91288,2013
90057,27155,2013
90058,16972,2013
90059,32455,2013
90061,34263,2013
90062,34051,2013
90063,38691,2013
90064,79038,2013
90065,56090,2013
90066,64445,2013
90067,94107,2013
90068,72821,2013
90069,74262,2013
90071,,2013
90073,,2013
90077,184338,2013
90079,,2013
90089,9219,2013
90090,,2013
90094,86579,2013
90095,,2013
90201,38482,2013
90210,129539,2013
90211,74212,2013
90212,78575,2013
90220,42974,2013
90221,43184,2013
90222,42622,2013
90230,68870,2013
90232,70341,2013
90240,69032,2013
90241,57846,2013
90242,56831,2013
90245,88486,2013
90247,41560,2013
90248,58692,2013
90249,57281,2013
90250,47411,2013
90254,102289,2013
90255,37274,2013
90260,51864,2013
90262,43889,2013
90263,,2013
90265,127059,2013
90266,132752,2013
90270,38155,2013
90272,158381,2013
90274,153621,2013
90275,116708,2013
90277,92577,2013
90278,100776,2013
90280,41990,2013
90290,128750,2013
90291,74046,2013
90292,100361,2013
90293,92664,2013
90301,38115,2013
90302,43835,2013
90303,42707,2013
90304,36732,2013
90305,65029,2013
90401,54702,2013
90402,135081,2013
90403,71184,2013
90404,55064,2013
90405,77642,2013
90501,57261,2013
90502,65243,2013
90503,75102,2013
90504,71223,2013
90505,77519,2013
90506,,2013
90601,69857,2013
90602,51789,2013
90603,83821,2013
90604,65109,2013
90605,71592,2013
90606,60381,2013
90620,74804,2013
90621,54607,2013
90623,84218,2013
90630,83360,2013
90631,66985,2013
90638,81692,2013
90640,52206,2013
90650,60090,2013
90660,55676,2013
90670,53694,2013
90680,53774,2013
90701,58534,2013
90703,87522,2013
90704,49142,2013
90706,50244,2013
90710,56565,2013
90712,82337,2013
90713,85131,2013
90715,68120,2013
90716,42770,2013
90717,59856,2013
90720,90000,2013
90723,42831,2013
90731,49226,2013
90732,91979,2013
90740,50648,2013
90742,69617,2013
90743,100357,2013
90744,40792,2013
90745,69330,2013
90746,76692,2013
90747,,2013
90755,70236,2013
90802,45094,2013
90803,70007,2013
90804,43489,2013
90805,44244,2013
90806,41932,2013
90807,68254,2013
90808,93787,2013
90810,51123,2013
90813,30622,2013
90814,54606,2013
90815,88024,2013
90822,,2013
90831,,2013
91001,86357,2013
91006,81660,2013
91007,70455,2013
91008,103490,2013
91010,62563,2013
91011,147481,2013
91016,67787,2013
91020,68898,2013
91024,84487,2013
91030,84914,2013
91040,73260,2013
91042,57922,2013
91046,22656,2013
91101,55305,2013
91103,58287,2013
91104,65458,2013
91105,116687,2013
91106,65424,2013
91107,81294,2013
91108,157535,2013
91201,47850,2013
91202,69265,2013
91203,40853,2013
91204,40050,2013
91205,36741,2013
91206,55364,2013
91207,87634,2013
91208,89663,2013
91210,76250,2013
91214,87249,2013
91301,108357,2013
91302,126958,2013
91303,46599,2013
91304,58423,2013
91306,60506,2013
91307,90785,2013
91311,78646,2013
91316,59522,2013
91320,104644,2013
91321,58130,2013
91324,63369,2013
91325,60033,2013
91326,102602,2013
91330,,2013
91331,49842,2013
91335,53842,2013
91340,51428,2013
91342,61648,2013
91343,53417,2013
91344,77642,2013
91345,62518,2013
91350,99876,2013
91351,74649,2013
91352,48632,2013
91354,104574,2013
91355,86721,2013
91356,69875,2013
91360,91105,2013
91361,103466,2013
91362,108435,2013
91364,98206,2013
91367,80291,2013
91371,,2013
91377,128618,2013
91381,112399,2013
91384,98330,2013
91387,83102,2013
91390,113537,2013
91401,47776,2013
91402,41467,2013
91403,76727,2013
91405,37324,2013
91406,50178,2013
91411,43695,2013
91423,73947,2013
91436,138676,2013
91501,62051,2013
91502,40515,2013
91504,71433,2013
91505,72924,2013
91506,74444,2013
91601,49784,2013
91602,65475,2013
91604,86475,2013
91605,42685,2013
91606,42191,2013
91607,59947,2013
91608,,2013
91701,80310,2013
91702,56190,2013
91706,51963,2013
91708,125515,2013
91709,101905,2013
91710,72705,2013
91711,82623,2013
91722,68267,2013
91723,62823,2013
91724,81585,2013
91730,63151,2013
91731,38551,2013
91732,44961,2013
91733,42191,2013
91737,97731,2013
91739,101071,2013
91740,70673,2013
91741,82831,2013
91744,55920,2013
91745,72601,2013
91746,62602,2013
91748,62495,2013
91750,78455,2013
91752,63551,2013
91754,51164,2013
91755,52458,2013
91759,71667,2013
91761,62191,2013
91762,52565,2013
91763,51016,2013
91764,52115,2013
91765,92627,2013
91766,50873,2013
91767,51336,2013
91768,50670,2013
91770,49477,2013
91773,74351,2013
91775,77352,2013
91776,52109,2013
91780,66750,2013
91784,100759,2013
91786,55964,2013
91789,90637,2013
91790,66459,2013
91791,72578,2013
91792,68682,2013
91801,49996,2013
91803,57480,2013
91901,77064,2013
91902,78187,2013
91905,80375,2013
91906,57917,2013
91910,56510,2013
91911,48386,2013
91913,89737,2013
91914,105462,2013
91915,94812,2013
91916,54929,2013
91917,60385,2013
91931,40662,2013
91932,45480,2013
91934,87628,2013
91935,101336,2013
91941,71528,2013
91942,52752,2013
91945,50512,2013
91948,35179,2013
91950,37072,2013
91962,75737,2013
91963,36393,2013
91977,61656,2013
91978,72579,2013
91980,,2013
92003,77042,2013
92004,41064,2013
92007,87857,2013
92008,62957,2013
92009,101170,2013
92010,87442,2013
92011,96329,2013
92014,126901,2013
92019,75715,2013
92020,49444,2013
92021,52909,2013
92024,88615,2013
92025,45998,2013
92026,58196,2013
92027,56857,2013
92028,66508,2013
92029,75304,2013
92036,65670,2013
92037,96519,2013
92040,65128,2013
92054,51105,2013
92055,47197,2013
92056,70057,2013
92057,70256,2013
92058,49986,2013
92059,92703,2013
92060,76250,2013
92061,51354,2013
92064,94724,2013
92065,77594,2013
92066,41779,2013
92067,148245,2013
92069,53060,2013
92070,51488,2013
92071,69828,2013
92075,84893,2013
92078,58367,2013
92081,60818,2013
92082,77264,2013
92083,48118,2013
92084,52293,2013
92086,38828,2013
92091,96932,2013
92101,52602,2013
92102,39258,2013
92103,58292,2013
92104,46888,2013
92105,35564,2013
92106,82762,2013
92107,60673,2013
92108,63826,2013
92109,63474,2013
92110,56166,2013
92111,56641,2013
92113,28437,2013
92114,54614,2013
92115,43567,2013
92116,51117,2013
92117,64690,2013
92118,93777,2013
92119,70536,2013
92120,79958,2013
92121,102391,2013
92122,72671,2013
92123,69962,2013
92124,76449,2013
92126,81266,2013
92127,117016,2013
92128,89657,2013
92129,106153,2013
92130,124229,2013
92131,127009,2013
92132,,2013
92134,,2013
92135,,2013
92139,61446,2013
92140,,2013
92145,218094,2013
92147,,2013
92154,55085,2013
92155,,2013
92173,36048,2013
92201,43415,2013
92203,76695,2013
92210,110948,2013
92211,62495,2013
92220,38397,2013
92222,,2013
92223,61716,2013
92225,43117,2013
92227,38565,2013
92230,30288,2013
92231,35992,2013
92233,35952,2013
92234,45088,2013
92236,43750,2013
92239,57083,2013
92240,34700,2013
92241,38765,2013
92242,29911,2013
92243,39754,2013
92249,52668,2013
92250,46359,2013
92251,56192,2013
92252,43718,2013
92253,78150,2013
92254,26661,2013
92256,38203,2013
92257,16218,2013
92258,25775,2013
92259,18750,2013
92260,50087,2013
92262,44760,2013
92264,46850,2013
92266,31509,2013
92267,,2013
92268,31645,2013
92270,76261,2013
92273,34432,2013
92274,31296,2013
92275,24871,2013
92276,43508,2013
92277,42544,2013
92278,88889,2013
92280,,2013
92281,28688,2013
92282,40811,2013
92283,23663,2013
92284,43874,2013
92285,22188,2013
92301,41643,2013
92304,,2013
92305,85682,2013
92307,58012,2013
92308,45979,2013
92309,33000,2013
92310,52798,2013
92311,48020,2013
92313,64337,2013
92314,41168,2013
92315,31541,2013
92316,49509,2013
92320,44286,2013
92321,60847,2013
92322,59657,2013
92324,43283,2013
92325,50811,2013
92327,34667,2013
92328,46061,2013
92332,26250,2013
92333,36250,2013
92335,44919,2013
92336,84492,2013
92337,69261,2013
92338,,2013
92339,76136,2013
92341,29000,2013
92342,62938,2013
92344,69508,2013
92345,46793,2013
92346,65156,2013
92347,31188,2013
92352,75593,2013
92354,62620,2013
92356,24821,2013
92358,65982,2013
92359,54620,2013
92363,30840,2013
92364,42750,2013
92365,36822,2013
92368,27049,2013
92371,50763,2013
92372,37988,2013
92373,72693,2013
92374,63658,2013
92376,45860,2013
92377,78777,2013
92378,48889,2013
92382,58304,2013
92384,31429,2013
92385,94286,2013
92386,41783,2013
92389,22188,2013
92391,37601,2013
92392,59547,2013
92394,54530,2013
92395,41041,2013
92397,79628,2013
92398,53718,2013
92399,60779,2013
92401,15047,2013
92404,36300,2013
92405,43756,2013
92407,55706,2013
92408,35462,2013
92410,30538,2013
92411,32508,2013
92501,49694,2013
92503,60347,2013
92504,56402,2013
92505,58758,2013
92506,80378,2013
92507,41807,2013
92508,97132,2013
92509,57039,2013
92518,69438,2013
92530,51619,2013
92532,85639,2013
92536,50401,2013
92539,43438,2013
92543,28346,2013
92544,46292,2013
92545,40748,2013
92548,39530,2013
92549,55495,2013
92551,57364,2013
92553,43730,2013
92555,75098,2013
92557,60901,2013
92561,79809,2013
92562,84359,2013
92563,80033,2013
92567,63021,2013
92570,42603,2013
92571,51870,2013
92582,58765,2013
92583,43014,2013
92584,73422,2013
92585,62679,2013
92586,36092,2013
92587,70629,2013
92590,41449,2013
92591,67731,2013
92592,86043,2013
92595,64326,2013
92596,82554,2013
92602,105587,2013
92603,128466,2013
92604,88242,2013
92606,91777,2013
92610,122694,2013
92612,71544,2013
92614,94442,2013
92617,31750,2013
92618,88823,2013
92620,107841,2013
92624,74223,2013
92625,112727,2013
92626,75674,2013
92627,58445,2013
92629,85068,2013
92630,85419,2013
92637,34789,2013
92646,85551,2013
92647,74579,2013
92648,82858,2013
92649,82859,2013
92651,99893,2013
92653,87131,2013
92655,46893,2013
92656,97807,2013
92657,155579,2013
92660,113054,2013
92661,101324,2013
92662,83929,2013
92663,89927,2013
92672,75392,2013
92673,118183,2013
92675,73373,2013
92676,96429,2013
92677,100480,2013
92678,152250,2013
92679,138826,2013
92683,56725,2013
92688,100388,2013
92691,95389,2013
92692,98022,2013
92694,133000,2013
92701,44846,2013
92703,54581,2013
92704,58186,2013
92705,80048,2013
92706,60574,2013
92707,60447,2013
92708,81250,2013
92780,64824,2013
92782,103802,2013
92801,47348,2013
92802,52289,2013
92804,53080,2013
92805,52557,2013
92806,58116,2013
92807,94165,2013
92808,106892,2013
92821,80023,2013
92823,126154,2013
92831,63653,2013
92832,58443,2013
92833,70388,2013
92835,96250,2013
92840,62558,2013
92841,57790,2013
92843,51966,2013
92844,50595,2013
92845,89768,2013
92860,84691,2013
92861,150918,2013
92865,76781,2013
92866,60376,2013
92867,81277,2013
92868,70888,2013
92869,94545,2013
92870,78923,2013
92879,65460,2013
92880,105788,2013
92881,98848,2013
92882,75408,2013
92883,97460,2013
92886,105448,2013
92887,130449,2013
93001,51108,2013
93003,70866,2013
93004,73863,2013
93010,83163,2013
93012,90264,2013
93013,71702,2013
93015,63844,2013
93021,103214,2013
93022,72031,2013
93023,68051,2013
93030,52346,2013
93033,53755,2013
93035,83512,2013
93036,64563,2013
93040,46375,2013
93041,52275,2013
93042,,2013
93043,,2013
93060,54225,2013
93063,84813,2013
93064,,2013
93065,93898,2013
93066,97163,2013
93067,43533,2013
93101,51021,2013
93103,67845,2013
93105,73673,2013
93108,110519,2013
93109,79908,2013
93110,75090,2013
93111,93810,2013
93117,56719,2013
93201,26350,2013
93202,41584,2013
93203,30204,2013
93204,29183,2013
93205,21789,2013
93206,41154,2013
93207,17411,2013
93208,9604,2013
93210,48232,2013
93212,31452,2013
93215,37132,2013
93218,46607,2013
93219,25293,2013
93220,,2013
93221,48670,2013
93222,44593,2013
93223,32861,2013
93224,51094,2013
93225,55330,2013
93226,44479,2013
93230,53929,2013
93234,23705,2013
93235,36543,2013
93238,59417,2013
93239,37794,2013
93240,24611,2013
93241,34248,2013
93242,45760,2013
93243,60753,2013
93244,46042,2013
93245,55620,2013
93247,35016,2013
93249,31111,2013
93250,35698,2013
93251,57000,2013
93252,32143,2013
93254,44265,2013
93255,37292,2013
93256,27383,2013
93257,39291,2013
93258,28482,2013
93260,23333,2013
93261,29213,2013
93262,,2013
93263,39466,2013
93265,54625,2013
93266,40341,2013
93267,31349,2013
93268,42111,2013
93270,31694,2013
93271,63802,2013
93272,44667,2013
93274,45029,2013
93276,43125,2013
93277,54284,2013
93280,40117,2013
93283,31487,2013
93285,30576,2013
93286,36394,2013
93287,62500,2013
93291,52503,2013
93292,53281,2013
93301,33787,2013
93304,36692,2013
93305,36340,2013
93306,50451,2013
93307,34243,2013
93308,44102,2013
93309,47567,2013
93311,84848,2013
93312,88350,2013
93313,60393,2013
93314,94751,2013
93401,54305,2013
93402,57734,2013
93405,37643,2013
93410,,2013
93420,67629,2013
93422,68934,2013
93424,65398,2013
93426,62391,2013
93427,66727,2013
93428,75106,2013
93429,38750,2013
93430,58043,2013
93432,58193,2013
93433,47841,2013
93434,44407,2013
93436,52864,2013
93437,56139,2013
93440,72083,2013
93441,76563,2013
93442,52850,2013
93444,62470,2013
93445,36984,2013
93446,60853,2013
93449,65682,2013
93450,50272,2013
93451,59375,2013
93452,44063,2013
93453,42885,2013
93454,51257,2013
93455,69453,2013
93458,47332,2013
93460,102232,2013
93461,65491,2013
93463,68654,2013
93465,86635,2013
93501,29765,2013
93505,54246,2013
93510,87591,2013
93512,10774,2013
93513,62396,2013
93514,56470,2013
93516,36446,2013
93517,58068,2013
93518,44141,2013
93519,18719,2013
93522,33929,2013
93523,55539,2013
93524,,2013
93526,50833,2013
93527,52667,2013
93528,31146,2013
93529,25570,2013
93530,45208,2013
93531,106875,2013
93532,66838,2013
93534,36323,2013
93535,45781,2013
93536,72232,2013
93541,49865,2013
93543,52490,2013
93544,53450,2013
93545,34946,2013
93546,64875,2013
93549,44620,2013
93550,40649,2013
93551,79357,2013
93552,57766,2013
93553,57202,2013
93554,27778,2013
93555,60530,2013
93558,46776,2013
93560,54924,2013
93561,56390,2013
93562,32311,2013
93563,110139,2013
93591,44786,2013
93592,15347,2013
93601,56638,2013
93602,65864,2013
93603,21382,2013
93604,70074,2013
93605,84583,2013
93606,39615,2013
93608,21172,2013
93609,42823,2013
93610,42753,2013
93611,80822,2013
93612,39609,2013
93614,63031,2013
93615,33209,2013
93616,43831,2013
93618,40875,2013
93619,107053,2013
93620,37104,2013
93621,22083,2013
93622,31294,2013
93623,,2013
93624,31797,2013
93625,50200,2013
93626,33000,2013
93627,,2013
93628,64096,2013
93630,44820,2013
93631,58910,2013
93633,95799,2013
93634,128375,2013
93635,51094,2013
93636,71992,2013
93637,48983,2013
93638,39711,2013
93640,25886,2013
93641,27174,2013
93643,50033,2013
93644,45261,2013
93645,74327,2013
93646,27612,2013
93647,35646,2013
93648,36649,2013
93650,27072,2013
93651,92596,2013
93652,38333,2013
93653,48813,2013
93654,50250,2013
93656,40045,2013
93657,50612,2013
93660,26033,2013
93662,43760,2013
93664,83750,2013
93665,27786,2013
93666,30625,2013
93667,61357,2013
93668,25852,2013
93669,-2500,2013
93673,39375,2013
93675,44779,2013
93701,20253,2013
93702,28881,2013
93703,31545,2013
93704,50564,2013
93705,34264,2013
93706,28100,2013
93710,44012,2013
93711,69961,2013
93720,78231,2013
93721,20718,2013
93722,56594,2013
93723,62442,2013
93725,38198,2013
93726,36191,2013
93727,44773,2013
93728,32462,2013
93730,115524,2013
93901,51035,2013
93905,40211,2013
93906,57837,2013
93907,74523,2013
93908,113750,2013
93920,52250,2013
93921,76567,2013
93923,92244,2013
93924,82921,2013
93925,53462,2013
93926,52654,2013
93927,54105,2013
93928,77560,2013
93930,54899,2013
93932,93750,2013
93933,53318,2013
93940,65314,2013
93943,,2013
93950,70211,2013
93953,119663,2013
93954,38125,2013
93955,58243,2013
93960,54263,2013
93962,73287,2013
94002,100125,2013
94005,79129,2013
94010,100528,2013
94014,70689,2013
94015,78609,2013
94019,98036,2013
94020,135481,2013
94021,89083,2013
94022,156526,2013
94024,166125,2013
94025,111154,2013
94027,240833,2013
94028,162727,2013
94030,83992,2013
94037,140408,2013
94038,104219,2013
94040,93517,2013
94041,85724,2013
94043,91760,2013
94044,93469,2013
94060,89886,2013
94061,74097,2013
94062,121658,2013
94063,52220,2013
94065,131897,2013
94066,77509,2013
94070,119777,2013
94074,86705,2013
94080,75717,2013
94085,88324,2013
94086,91233,2013
94087,105848,2013
94089,81631,2013
94102,22159,2013
94103,42801,2013
94104,25568,2013
94105,120257,2013
94107,113974,2013
94108,33191,2013
94109,58106,2013
94110,76963,2013
94111,92446,2013
94112,72467,2013
94114,111815,2013
94115,72429,2013
94116,83657,2013
94117,85151,2013
94118,74967,2013
94121,77612,2013
94122,79441,2013
94123,104485,2013
94124,46025,2013
94127,138003,2013
94128,,2013
94129,118110,2013
94130,35417,2013
94131,92755,2013
94132,69560,2013
94133,50378,2013
94134,57075,2013
94158,68214,2013
94301,135817,2013
94303,73895,2013
94304,101316,2013
94305,60682,2013
94306,112230,2013
94401,72452,2013
94402,109093,2013
94403,89205,2013
94404,112271,2013
94501,69572,2013
94502,113650,2013
94503,83176,2013
94505,102328,2013
94506,166335,2013
94507,150457,2013
94508,66912,2013
94509,55018,2013
94510,90539,2013
94511,30409,2013
94512,95521,2013
94513,87486,2013
94514,70783,2013
94515,56786,2013
94516,85833,2013
94517,124042,2013
94518,71770,2013
94519,70773,2013
94520,46565,2013
94521,79040,2013
94523,79128,2013
94525,76278,2013
94526,121462,2013
94528,153860,2013
94530,83472,2013
