City,City/Neighborhood,Zipcode,Date,Month,Year,Price Index,Median Household Income Last_12,City Park Scores,Distance to Nearest Beach (Km),Crime Data City Level (Arrest Disposition),Disneyland Resort historical attendance data,Knott's Berry Farm historical attendance data,Distance from Disneyland (km),Distance from Knott's Berry Farm (km),Distance from Irvine Spectrum (km),Nearest Beach Name (Need to One Hot Encode)_Aliso Beach,Nearest Beach Name (Need to One Hot Encode)_Bolsa Chica State Beach,Nearest Beach Name (Need to One Hot Encode)_Corona Del Mar State Beach,Nearest Beach Name (Need to One Hot Encode)_Crystal Cove State Beach,Nearest Beach Name (Need to One Hot Encode)_Dana Point Harbor,Nearest Beach Name (Need to One Hot Encode)_Doheney State Beach,Nearest Beach Name (Need to One Hot Encode)_Fisherman's Cove,Nearest Beach Name (Need to One Hot Encode)_Huntington City Beach,Nearest Beach Name (Need to One Hot Encode)_Huntington State Beach,Nearest Beach Name (Need to One Hot Encode)_Laguna Main Beach,Nearest Beach Name (Need to One Hot Encode)_Newport Beach Municipal Beach,Nearest Beach Name (Need to One Hot Encode)_Seal beach municipal pier,Nearest Beach Name (Need to One Hot Encode)_Sunset beach,Nearest Beach Name (Need to One Hot Encode)_Surfside Beach,Nearest Beach Name (Need to One Hot Encode)_T street Beach,Nearest Beach Name (Need to One Hot Encode)_Thalia Street Beach,Nearest Beach Name (Need to One Hot Encode)_West Street Beach
Aliso Viejo,Aliso Viejo,92656,2014-01-31,1,2014,486155.5583,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-02-28,2,2014,489076.6266,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-03-31,3,2014,492136.1673,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-04-30,4,2014,495451.7403,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-05-31,5,2014,498080.3425,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-06-30,6,2014,499302.0048,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-07-31,7,2014,499225.3943,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-08-31,8,2014,498479.3653,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-09-30,9,2014,499543.7465,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-10-31,10,2014,501619.0644,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-11-30,11,2014,505250.8292,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2014-12-31,12,2014,508453.0019,97807,1.95,6.1427,309,27047000,3683000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-01-31,1,2015,510824.0224,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-02-28,2,2015,511705.6686,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-03-31,3,2015,511964.7149,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-04-30,4,2015,511720.3481,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-05-31,5,2015,511485.1217,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-06-30,6,2015,511158.2833,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-07-31,7,2015,512004.1032,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-08-31,8,2015,512338.7823,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-09-30,9,2015,511814.4307,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-10-31,10,2015,510578.1693,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-11-30,11,2015,509396.953,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2015-12-31,12,2015,508273.641,97807,1.95,6.1427,396,27661000,3867000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-01-31,1,2016,510888.7407,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-02-29,2,2016,516826.0311,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-03-31,3,2016,525213.2478,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-04-30,4,2016,530994.4957,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-05-31,5,2016,534441.4138,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-06-30,6,2016,536748.7998,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-07-31,7,2016,538933.1007,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-08-31,8,2016,537991.375,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-09-30,9,2016,534428.8357,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-10-31,10,2016,529894.8514,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-11-30,11,2016,528463.662,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2016-12-31,12,2016,529638.492,97807,1.95,6.1427,440,27238000,4014000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2017-01-31,1,2017,535908.5467,97807,1.95,6.1427,441,27874000,4034000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2017-02-28,2,2017,544773.7306,97807,1.95,6.1427,441,27874000,4034000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2017-03-31,3,2017,555395.0357,97807,1.95,6.1427,441,27874000,4034000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2017-04-30,4,2017,562553.0557,97807,1.95,6.1427,441,27874000,4034000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2017-05-31,5,2017,567849.574,97807,1.95,6.1427,441,27874000,4034000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2017-06-30,6,2017,571443.3903,97807,1.95,6.1427,441,27874000,4034000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2017-07-31,7,2017,574932.2783,97807,1.95,6.1427,441,27874000,4034000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2017-08-31,8,2017,578893.5622,97807,1.95,6.1427,441,27874000,4034000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliso Viejo,Aliso Viejo,92656,2017-09-30,9,2017,584541.1287,97807,1.95,6.1427,441,27874000,4034000,32.43160688,40.11288891,8.139576748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
